"subj_code","condition","desktop_conf","attent_conf","intro_check","structure","first_object","learn_check_red","learn_check_yellow","red_caused_rating","yellow_caused_rating","red_maintained_rating","yellow_maintained_rating","timing_check","recorded_at","age","gender","tech_issues","timing_check_correct","learning_check_correct"
"GTj1n3Tk3eXD",2,"1: I confirm","1: I will take it seriously","2: A green ball lies on a brown wooden board. Then a yellow ball falls down onto the wooden board. The green ball then shoots into the air.","irreversible","yellow","1: When the red ram returned to its initial position, the wooden block remained in the blue area.","1: When the yellow ram returned to its initial position, the wooden block remained in the blue area.",0,10,0,1,"The yellow ram moved first.","2023-10-30 08:50:50",35,"2: female",NA,"correct","correct"
"htE1NMwYAPW2",2,"1: I confirm","1: I will take it seriously","2: A green ball lies on a brown wooden board. Then a yellow ball falls down onto the wooden board. The green ball then shoots into the air.","irreversible","yellow","1: When the red ram returned to its initial position, the wooden block remained in the blue area.","1: When the yellow ram returned to its initial position, the wooden block remained in the blue area.",1,9,2,7,"The yellow ram moved first.","2023-10-30 08:45:51",63,"1: male","No issues.","correct","correct"
"KZp4q00pa7LW",2,"1: I confirm","1: I will take it seriously","2: A green ball lies on a brown wooden board. Then a yellow ball falls down onto the wooden board. The green ball then shoots into the air.","irreversible","yellow","1: When the red ram returned to its initial position, the wooden block remained in the blue area.","1: When the yellow ram returned to its initial position, the wooden block remained in the blue area.",0,10,0,0,"The yellow ram moved first.","2023-10-30 10:18:08",36,"2: female",NA,"correct","correct"
"sUQrEjERgTLg",2,"1: I confirm","1: I will take it seriously","2: A green ball lies on a brown wooden board. Then a yellow ball falls down onto the wooden board. The green ball then shoots into the air.","irreversible","yellow","1: When the red ram returned to its initial position, the wooden block remained in the blue area.","1: When the yellow ram returned to its initial position, the wooden block remained in the blue area.",0,10,5,8,"The yellow ram moved first.","2023-10-30 08:53:25",39,"2: female",NA,"correct","correct"
"T9w3umV0EfmO",2,"1: I confirm","1: I will take it seriously","2: A green ball lies on a brown wooden board. Then a yellow ball falls down onto the wooden board. The green ball then shoots into the air.","irreversible","yellow","1: When the red ram returned to its initial position, the wooden block remained in the blue area.","1: When the yellow ram returned to its initial position, the wooden block remained in the blue area.",0,10,0,6,"The yellow ram moved first.","2023-10-30 09:38:37",28,"2: female",NA,"correct","correct"
"b3n5MnfyTSmC",3,"1: I confirm","1: I will take it seriously","2: A green ball lies on a brown wooden board. Then a yellow ball falls down onto the wooden board. The green ball then shoots into the air.","reversible","red","2: When the red ram returned to its initial position, the wooden block also went back (left the blue area again).","2: When the yellow ram returned to its initial position, the wooden block also went back (left the blue area again).",10,0,10,10,"The red ram moved first.","2023-10-30 10:20:27",40,"2: female","none","correct","correct"
"dOdFvMez1iKa",3,"1: I confirm","1: I will take it seriously","2: A green ball lies on a brown wooden board. Then a yellow ball falls down onto the wooden board. The green ball then shoots into the air.","reversible","red","2: When the red ram returned to its initial position, the wooden block also went back (left the blue area again).","2: When the yellow ram returned to its initial position, the wooden block also went back (left the blue area again).",10,0,7,10,"The red ram moved first.","2023-10-30 09:38:31",29,"1: male",NA,"correct","correct"
"eMLtqM6YJprI",3,"1: I confirm","1: I will take it seriously","2: A green ball lies on a brown wooden board. Then a yellow ball falls down onto the wooden board. The green ball then shoots into the air.","reversible","red","2: When the red ram returned to its initial position, the wooden block also went back (left the blue area again).","2: When the yellow ram returned to its initial position, the wooden block also went back (left the blue area again).",9,1,7,6,"The red ram moved first.","2023-10-30 09:38:06",44,"2: female","I didn't notice any errors during the study. I think I watched the final video a few too many times. ","correct","correct"
"i8OSdz2WBYuj",3,"1: I confirm","1: I will take it seriously","2: A green ball lies on a brown wooden board. Then a yellow ball falls down onto the wooden board. The green ball then shoots into the air.","reversible","red","2: When the red ram returned to its initial position, the wooden block also went back (left the blue area again).","2: When the yellow ram returned to its initial position, the wooden block also went back (left the blue area again).",10,0,10,10,"The red ram moved first.","2023-10-30 09:39:17",28,"1: male",NA,"correct","correct"
"jri5aBx7Dyjy",3,"1: I confirm","1: I will take it seriously","2: A green ball lies on a brown wooden board. Then a yellow ball falls down onto the wooden board. The green ball then shoots into the air.","reversible","red","2: When the red ram returned to its initial position, the wooden block also went back (left the blue area again).","2: When the yellow ram returned to its initial position, the wooden block also went back (left the blue area again).",6,6,4,4,"The red ram moved first.","2023-10-30 08:49:19",26,"2: female",NA,"correct","correct"
"JyIer38GGMJl",3,"1: I confirm","1: I will take it seriously","2: A green ball lies on a brown wooden board. Then a yellow ball falls down onto the wooden board. The green ball then shoots into the air.","reversible","red","2: When the red ram returned to its initial position, the wooden block also went back (left the blue area again).","2: When the yellow ram returned to its initial position, the wooden block also went back (left the blue area again).",10,0,10,10,"The red ram moved first.","2023-10-30 10:18:06",39,"2: female",NA,"correct","correct"
"olJnvV6KOkYE",3,"1: I confirm","1: I will take it seriously","2: A green ball lies on a brown wooden board. Then a yellow ball falls down onto the wooden board. The green ball then shoots into the air.","reversible","red","2: When the red ram returned to its initial position, the wooden block also went back (left the blue area again).","2: When the yellow ram returned to its initial position, the wooden block also went back (left the blue area again).",10,0,0,10,"The red ram moved first.","2023-10-30 10:19:32",27,"2: female","none","correct","correct"
"u3bWKREo7ndd",3,"1: I confirm","1: I will take it seriously","2: A green ball lies on a brown wooden board. Then a yellow ball falls down onto the wooden board. The green ball then shoots into the air.","reversible","red","2: When the red ram returned to its initial position, the wooden block also went back (left the blue area again).","2: When the yellow ram returned to its initial position, the wooden block also went back (left the blue area again).",10,0,10,10,"The red ram moved first.","2023-10-30 08:50:55",29,"1: male",NA,"correct","correct"
"uwuPlZ5DLuRx",3,"1: I confirm","1: I will take it seriously","2: A green ball lies on a brown wooden board. Then a yellow ball falls down onto the wooden board. The green ball then shoots into the air.","reversible","red","2: When the red ram returned to its initial position, the wooden block also went back (left the blue area again).","2: When the yellow ram returned to its initial position, the wooden block also went back (left the blue area again).",10,1,6,10,"The red ram moved first.","2023-10-30 10:17:57",30,"2: female",NA,"correct","correct"
"W5isxpxBAKcf",3,"1: I confirm","1: I will take it seriously","2: A green ball lies on a brown wooden board. Then a yellow ball falls down onto the wooden board. The green ball then shoots into the air.","reversible","red","2: When the red ram returned to its initial position, the wooden block also went back (left the blue area again).","2: When the yellow ram returned to its initial position, the wooden block also went back (left the blue area again).",10,0,2,10,"The red ram moved first.","2023-10-30 08:51:07",64,"2: female",NA,"correct","correct"
"2K4BMdJ0cvXP",4,"1: I confirm","1: I will take it seriously","2: A green ball lies on a brown wooden board. Then a yellow ball falls down onto the wooden board. The green ball then shoots into the air.","reversible","yellow","2: When the red ram returned to its initial position, the wooden block also went back (left the blue area again).","2: When the yellow ram returned to its initial position, the wooden block also went back (left the blue area again).",0,10,10,10,"The yellow ram moved first.","2023-10-30 10:17:50",39,"2: female",NA,"correct","correct"
"3PbBY7fGrCGK",4,"1: I confirm","1: I will take it seriously","2: A green ball lies on a brown wooden board. Then a yellow ball falls down onto the wooden board. The green ball then shoots into the air.","reversible","yellow","2: When the red ram returned to its initial position, the wooden block also went back (left the blue area again).","2: When the yellow ram returned to its initial position, the wooden block also went back (left the blue area again).",1,10,8,8,"The yellow ram moved first.","2023-10-30 08:48:28",41,"2: female","n/a","correct","correct"
"bnIrWV7kZ4Ue",4,"1: I confirm","1: I will take it seriously","2: A green ball lies on a brown wooden board. Then a yellow ball falls down onto the wooden board. The green ball then shoots into the air.","reversible","yellow","2: When the red ram returned to its initial position, the wooden block also went back (left the blue area again).","2: When the yellow ram returned to its initial position, the wooden block also went back (left the blue area again).",0,10,10,10,"The yellow ram moved first.","2023-10-30 10:20:45",62,"1: male",NA,"correct","correct"
"CSLTol9IzCbj",4,"1: I confirm","1: I will take it seriously","2: A green ball lies on a brown wooden board. Then a yellow ball falls down onto the wooden board. The green ball then shoots into the air.","reversible","yellow","2: When the red ram returned to its initial position, the wooden block also went back (left the blue area again).","2: When the yellow ram returned to its initial position, the wooden block also went back (left the blue area again).",0,10,1,10,"The yellow ram moved first.","2023-10-30 09:38:20",47,"2: female","n/a","correct","correct"
"d11QYnh5ycCi",4,"1: I confirm","1: I will take it seriously","2: A green ball lies on a brown wooden board. Then a yellow ball falls down onto the wooden board. The green ball then shoots into the air.","reversible","yellow","2: When the red ram returned to its initial position, the wooden block also went back (left the blue area again).","2: When the yellow ram returned to its initial position, the wooden block also went back (left the blue area again).",0,10,10,0,"The yellow ram moved first.","2023-10-30 10:17:57",50,"1: male","none","correct","correct"
"fWoPWfoNxbn1",4,"1: I confirm","1: I will take it seriously","2: A green ball lies on a brown wooden board. Then a yellow ball falls down onto the wooden board. The green ball then shoots into the air.","reversible","yellow","2: When the red ram returned to its initial position, the wooden block also went back (left the blue area again).","2: When the yellow ram returned to its initial position, the wooden block also went back (left the blue area again).",0,10,10,10,"The yellow ram moved first.","2023-10-30 10:18:15",68,"1: male","None","correct","correct"
"JZhVZLWiqfwn",4,"1: I confirm","1: I will take it seriously","2: A green ball lies on a brown wooden board. Then a yellow ball falls down onto the wooden board. The green ball then shoots into the air.","reversible","yellow","2: When the red ram returned to its initial position, the wooden block also went back (left the blue area again).","2: When the yellow ram returned to its initial position, the wooden block also went back (left the blue area again).",0,10,8,8,"The yellow ram moved first.","2023-10-30 09:40:08",27,"1: male",NA,"correct","correct"
"levuW3FJfoxx",4,"1: I confirm","1: I will take it seriously","2: A green ball lies on a brown wooden board. Then a yellow ball falls down onto the wooden board. The green ball then shoots into the air.","reversible","yellow","2: When the red ram returned to its initial position, the wooden block also went back (left the blue area again).","2: When the yellow ram returned to its initial position, the wooden block also went back (left the blue area again).",0,10,10,0,"The yellow ram moved first.","2023-10-30 10:18:03",31,"2: female","None.","correct","correct"
"mUrUM4ixf6aa",4,"1: I confirm","1: I will take it seriously","2: A green ball lies on a brown wooden board. Then a yellow ball falls down onto the wooden board. The green ball then shoots into the air.","reversible","yellow","2: When the red ram returned to its initial position, the wooden block also went back (left the blue area again).","2: When the yellow ram returned to its initial position, the wooden block also went back (left the blue area again).",0,10,10,10,"The yellow ram moved first.","2023-10-30 10:18:28",48,"2: female","None","correct","correct"
"oycPtFckkhBC",4,"1: I confirm","1: I will take it seriously","2: A green ball lies on a brown wooden board. Then a yellow ball falls down onto the wooden board. The green ball then shoots into the air.","reversible","yellow","2: When the red ram returned to its initial position, the wooden block also went back (left the blue area again).","2: When the yellow ram returned to its initial position, the wooden block also went back (left the blue area again).",0,8,6,6,"The yellow ram moved first.","2023-10-30 09:37:51",50,"2: female",NA,"correct","correct"
