"subj_code","condition","desktop_conf","attent_conf","intro_check","structure","first_object","learn_check_red","learn_check_yellow","red_caused_rating","yellow_caused_rating","red_maintained_rating","yellow_maintained_rating","timing_check","recorded_at","age","gender","tech_issues","timing_check_correct","learning_check_correct"
"PPNJGsmGlutP",1,"1: I confirm","1: I will take it seriously","2: A green ball lies on a brown wooden board. Then a yellow ball falls down onto the wooden board. The green ball then shoots into the air.","irreversible","red","1: When the red ram returned to its initial position, the wooden block remained in the blue area.","1: When the yellow ram returned to its initial position, the wooden block remained in the blue area.",10,0,0,0,"The red ram moved first.","2023-10-30 11:10:30",34,"1: male",NA,"correct","correct"
"RAJKjbeFQ8GR",1,"1: I confirm","1: I will take it seriously","2: A green ball lies on a brown wooden board. Then a yellow ball falls down onto the wooden board. The green ball then shoots into the air.","irreversible","red","1: When the red ram returned to its initial position, the wooden block remained in the blue area.","1: When the yellow ram returned to its initial position, the wooden block remained in the blue area.",10,0,7,6,"The red ram moved first.","2023-10-30 12:08:53",34,"2: female","None","correct","correct"
"rNDF0X4u2hce",1,"1: I confirm","1: I will take it seriously","2: A green ball lies on a brown wooden board. Then a yellow ball falls down onto the wooden board. The green ball then shoots into the air.","irreversible","red","1: When the red ram returned to its initial position, the wooden block remained in the blue area.","1: When the yellow ram returned to its initial position, the wooden block remained in the blue area.",10,0,9,7,"The red ram moved first.","2023-10-30 11:10:10",64,"2: female","Would the block have stayed in the blue area without the yellow ram holding it? I think that can only  be guessed.","correct","correct"
"TEaMo1TZWFZl",1,"1: I confirm","1: I will take it seriously","2: A green ball lies on a brown wooden board. Then a yellow ball falls down onto the wooden board. The green ball then shoots into the air.","irreversible","red","1: When the red ram returned to its initial position, the wooden block remained in the blue area.","1: When the yellow ram returned to its initial position, the wooden block remained in the blue area.",10,1,10,10,"The red ram moved first.","2023-10-30 11:10:05",38,"1: male","none","correct","correct"
"TjstMqPk8NfF",1,"1: I confirm","1: I will take it seriously","2: A green ball lies on a brown wooden board. Then a yellow ball falls down onto the wooden board. The green ball then shoots into the air.","irreversible","red","1: When the red ram returned to its initial position, the wooden block remained in the blue area.","1: When the yellow ram returned to its initial position, the wooden block remained in the blue area.",10,0,10,2,"The red ram moved first.","2023-10-30 11:47:26",39,"1: male",NA,"correct","correct"
"uSmPUkahAMPn",1,"1: I confirm","1: I will take it seriously","2: A green ball lies on a brown wooden board. Then a yellow ball falls down onto the wooden board. The green ball then shoots into the air.","irreversible","red","1: When the red ram returned to its initial position, the wooden block remained in the blue area.","1: When the yellow ram returned to its initial position, the wooden block remained in the blue area.",10,0,0,0,"The red ram moved first.","2023-10-30 11:47:42",40,"2: female",NA,"correct","correct"
"vnYyavtjOH0c",1,"1: I confirm","1: I will take it seriously","2: A green ball lies on a brown wooden board. Then a yellow ball falls down onto the wooden board. The green ball then shoots into the air.","irreversible","red","1: When the red ram returned to its initial position, the wooden block remained in the blue area.","1: When the yellow ram returned to its initial position, the wooden block remained in the blue area.",10,0,4,4,"The red ram moved first.","2023-10-30 11:51:50",35,"1: male",NA,"correct","correct"
"ww9O1ttNolDk",1,"1: I confirm","1: I will take it seriously","2: A green ball lies on a brown wooden board. Then a yellow ball falls down onto the wooden board. The green ball then shoots into the air.","irreversible","red","1: When the red ram returned to its initial position, the wooden block remained in the blue area.","1: When the yellow ram returned to its initial position, the wooden block remained in the blue area.",9,0,7,7,"The red ram moved first.","2023-10-30 11:09:53",27,"2: female",NA,"correct","correct"
"12dgnTQDSTuU",2,"1: I confirm","1: I will take it seriously","2: A green ball lies on a brown wooden board. Then a yellow ball falls down onto the wooden board. The green ball then shoots into the air.","irreversible","yellow","1: When the red ram returned to its initial position, the wooden block remained in the blue area.","1: When the yellow ram returned to its initial position, the wooden block remained in the blue area.",0,10,1,1,"The yellow ram moved first.","2023-10-30 12:01:58",63,"2: female","none","correct","correct"
"369aKDw3yleB",2,"1: I confirm","1: I will take it seriously","2: A green ball lies on a brown wooden board. Then a yellow ball falls down onto the wooden board. The green ball then shoots into the air.","irreversible","yellow","1: When the red ram returned to its initial position, the wooden block remained in the blue area.","1: When the yellow ram returned to its initial position, the wooden block remained in the blue area.",5,6,4,6,"The yellow ram moved first.","2023-10-30 11:10:38",40,"2: female",NA,"correct","correct"
"43mDPHu5M7pp",2,"1: I confirm","1: I will take it seriously","2: A green ball lies on a brown wooden board. Then a yellow ball falls down onto the wooden board. The green ball then shoots into the air.","irreversible","yellow","1: When the red ram returned to its initial position, the wooden block remained in the blue area.","1: When the yellow ram returned to its initial position, the wooden block remained in the blue area.",0,10,7,10,"The yellow ram moved first.","2023-10-30 11:09:56",45,"1: male","None","correct","correct"
"4I1TAZhabtIU",2,"1: I confirm","1: I will take it seriously","2: A green ball lies on a brown wooden board. Then a yellow ball falls down onto the wooden board. The green ball then shoots into the air.","irreversible","yellow","1: When the red ram returned to its initial position, the wooden block remained in the blue area.","1: When the yellow ram returned to its initial position, the wooden block remained in the blue area.",0,10,10,10,"The yellow ram moved first.","2023-10-30 11:50:27",40,"1: male",NA,"correct","correct"
"b8zFG3FI01ff",2,"1: I confirm","1: I will take it seriously","2: A green ball lies on a brown wooden board. Then a yellow ball falls down onto the wooden board. The green ball then shoots into the air.","irreversible","yellow","1: When the red ram returned to its initial position, the wooden block remained in the blue area.","1: When the yellow ram returned to its initial position, the wooden block remained in the blue area.",0,10,4,5,"The yellow ram moved first.","2023-10-30 12:02:02",41,"2: female",NA,"correct","correct"
"CqGhOmbY1mTD",2,"1: I confirm","1: I will take it seriously","2: A green ball lies on a brown wooden board. Then a yellow ball falls down onto the wooden board. The green ball then shoots into the air.","irreversible","yellow","1: When the red ram returned to its initial position, the wooden block remained in the blue area.","1: When the yellow ram returned to its initial position, the wooden block remained in the blue area.",2,10,10,10,"The yellow ram moved first.","2023-10-30 11:10:27",76,"1: male",NA,"correct","correct"
"euPd34WCsPBp",2,"1: I confirm","1: I will take it seriously","2: A green ball lies on a brown wooden board. Then a yellow ball falls down onto the wooden board. The green ball then shoots into the air.","irreversible","yellow","1: When the red ram returned to its initial position, the wooden block remained in the blue area.","1: When the yellow ram returned to its initial position, the wooden block remained in the blue area.",0,10,0,0,"The yellow ram moved first.","2023-10-30 12:01:54",53,"1: male",NA,"correct","correct"
"F2bfU8tGyHlU",2,"1: I confirm","1: I will take it seriously","2: A green ball lies on a brown wooden board. Then a yellow ball falls down onto the wooden board. The green ball then shoots into the air.","irreversible","yellow","1: When the red ram returned to its initial position, the wooden block remained in the blue area.","1: When the yellow ram returned to its initial position, the wooden block remained in the blue area.",0,10,0,7,"The yellow ram moved first.","2023-10-30 11:16:13",32,"1: male",NA,"correct","correct"
"GTnP2hAvAYyD",2,"1: I confirm","1: I will take it seriously","2: A green ball lies on a brown wooden board. Then a yellow ball falls down onto the wooden board. The green ball then shoots into the air.","irreversible","yellow","1: When the red ram returned to its initial position, the wooden block remained in the blue area.","1: When the yellow ram returned to its initial position, the wooden block remained in the blue area.",0,10,0,0,"The yellow ram moved first.","2023-10-30 11:09:59",67,"1: male",NA,"correct","correct"
"gZ7gEzNS90PC",2,"1: I confirm","1: I will take it seriously","2: A green ball lies on a brown wooden board. Then a yellow ball falls down onto the wooden board. The green ball then shoots into the air.","irreversible","yellow","1: When the red ram returned to its initial position, the wooden block remained in the blue area.","1: When the yellow ram returned to its initial position, the wooden block remained in the blue area.",1,10,1,10,"The yellow ram moved first.","2023-10-30 11:47:52",29,"1: male",NA,"correct","correct"
"hxO0raMF1Ehd",2,"1: I confirm","1: I will take it seriously","2: A green ball lies on a brown wooden board. Then a yellow ball falls down onto the wooden board. The green ball then shoots into the air.","irreversible","yellow","1: When the red ram returned to its initial position, the wooden block remained in the blue area.","1: When the yellow ram returned to its initial position, the wooden block remained in the blue area.",5,7,8,7,"The yellow ram moved first.","2023-10-30 11:10:58",29,"1: male","There were none that I could see.","correct","correct"
"IywV9ZYlFkiG",2,"1: I confirm","1: I will take it seriously","2: A green ball lies on a brown wooden board. Then a yellow ball falls down onto the wooden board. The green ball then shoots into the air.","irreversible","yellow","1: When the red ram returned to its initial position, the wooden block remained in the blue area.","1: When the yellow ram returned to its initial position, the wooden block remained in the blue area.",2,10,3,8,"The yellow ram moved first.","2023-10-30 11:10:24",58,"2: female","all ok","correct","correct"
"kVdcHRcQcK1p",2,"1: I confirm","1: I will take it seriously","2: A green ball lies on a brown wooden board. Then a yellow ball falls down onto the wooden board. The green ball then shoots into the air.","irreversible","yellow","1: When the red ram returned to its initial position, the wooden block remained in the blue area.","1: When the yellow ram returned to its initial position, the wooden block remained in the blue area.",8,10,2,9,"The yellow ram moved first.","2023-10-30 11:10:39",28,"2: female","nil","correct","correct"
"lBL0y6JpgTJ9",2,"1: I confirm","1: I will take it seriously","2: A green ball lies on a brown wooden board. Then a yellow ball falls down onto the wooden board. The green ball then shoots into the air.","irreversible","yellow","1: When the red ram returned to its initial position, the wooden block remained in the blue area.","1: When the yellow ram returned to its initial position, the wooden block remained in the blue area.",0,10,1,9,"The yellow ram moved first.","2023-10-30 12:01:51",36,"1: male",NA,"correct","correct"
"n3UpXwLkDQyA",2,"1: I confirm","1: I will take it seriously","2: A green ball lies on a brown wooden board. Then a yellow ball falls down onto the wooden board. The green ball then shoots into the air.","irreversible","yellow","1: When the red ram returned to its initial position, the wooden block remained in the blue area.","1: When the yellow ram returned to its initial position, the wooden block remained in the blue area.",1,9,0,0,"The yellow ram moved first.","2023-10-30 11:47:27",66,"1: male","none","correct","correct"
"Ou7QaMWnxLgJ",2,"1: I confirm","1: I will take it seriously","2: A green ball lies on a brown wooden board. Then a yellow ball falls down onto the wooden board. The green ball then shoots into the air.","irreversible","yellow","1: When the red ram returned to its initial position, the wooden block remained in the blue area.","1: When the yellow ram returned to its initial position, the wooden block remained in the blue area.",10,10,5,5,"The yellow ram moved first.","2023-10-30 11:47:24",55,"2: female","none","correct","correct"
"qDg3zoEhR9jA",2,"1: I confirm","1: I will take it seriously","2: A green ball lies on a brown wooden board. Then a yellow ball falls down onto the wooden board. The green ball then shoots into the air.","irreversible","yellow","1: When the red ram returned to its initial position, the wooden block remained in the blue area.","1: When the yellow ram returned to its initial position, the wooden block remained in the blue area.",0,10,10,10,"The yellow ram moved first.","2023-10-30 11:47:15",19,"1: male",NA,"correct","correct"
"qGAUid2VmdLb",2,"1: I confirm","1: I will take it seriously","2: A green ball lies on a brown wooden board. Then a yellow ball falls down onto the wooden board. The green ball then shoots into the air.","irreversible","yellow","1: When the red ram returned to its initial position, the wooden block remained in the blue area.","1: When the yellow ram returned to its initial position, the wooden block remained in the blue area.",0,10,0,0,"The yellow ram moved first.","2023-10-30 11:09:47",58,"1: male",NA,"correct","correct"
"rqx68J5nNnDP",2,"1: I confirm","1: I will take it seriously","2: A green ball lies on a brown wooden board. Then a yellow ball falls down onto the wooden board. The green ball then shoots into the air.","irreversible","yellow","1: When the red ram returned to its initial position, the wooden block remained in the blue area.","1: When the yellow ram returned to its initial position, the wooden block remained in the blue area.",0,10,4,10,"The yellow ram moved first.","2023-10-30 11:47:20",28,"2: female",NA,"correct","correct"
"SzX0h4O4Xj3H",2,"1: I confirm","1: I will take it seriously","2: A green ball lies on a brown wooden board. Then a yellow ball falls down onto the wooden board. The green ball then shoots into the air.","irreversible","yellow","1: When the red ram returned to its initial position, the wooden block remained in the blue area.","1: When the yellow ram returned to its initial position, the wooden block remained in the blue area.",10,10,10,10,"The yellow ram moved first.","2023-10-30 11:10:31",51,"2: female",NA,"correct","correct"
"T1EiDQGKfEYw",2,"1: I confirm","1: I will take it seriously","2: A green ball lies on a brown wooden board. Then a yellow ball falls down onto the wooden board. The green ball then shoots into the air.","irreversible","yellow","1: When the red ram returned to its initial position, the wooden block remained in the blue area.","1: When the yellow ram returned to its initial position, the wooden block remained in the blue area.",1,9,2,9,"The yellow ram moved first.","2023-10-30 11:10:09",35,"1: male",NA,"correct","correct"
"TMA7IJOwQ5Pl",2,"1: I confirm","1: I will take it seriously","2: A green ball lies on a brown wooden board. Then a yellow ball falls down onto the wooden board. The green ball then shoots into the air.","irreversible","yellow","1: When the red ram returned to its initial position, the wooden block remained in the blue area.","1: When the yellow ram returned to its initial position, the wooden block remained in the blue area.",0,10,5,5,"The yellow ram moved first.","2023-10-30 11:47:33",54,"1: male",NA,"correct","correct"
"tNezCz74ry46",2,"1: I confirm","1: I will take it seriously","2: A green ball lies on a brown wooden board. Then a yellow ball falls down onto the wooden board. The green ball then shoots into the air.","irreversible","yellow","1: When the red ram returned to its initial position, the wooden block remained in the blue area.","1: When the yellow ram returned to its initial position, the wooden block remained in the blue area.",4,6,5,4,"The yellow ram moved first.","2023-10-30 11:10:34",66,"2: female",NA,"correct","correct"
"UnPiuFGdV8Gf",2,"1: I confirm","1: I will take it seriously","2: A green ball lies on a brown wooden board. Then a yellow ball falls down onto the wooden board. The green ball then shoots into the air.","irreversible","yellow","1: When the red ram returned to its initial position, the wooden block remained in the blue area.","1: When the yellow ram returned to its initial position, the wooden block remained in the blue area.",0,10,2,7,"The yellow ram moved first.","2023-10-30 11:16:02",48,"1: male","no problems","correct","correct"
"wJ8750EAtdgh",2,"1: I confirm","1: I will take it seriously","2: A green ball lies on a brown wooden board. Then a yellow ball falls down onto the wooden board. The green ball then shoots into the air.","irreversible","yellow","1: When the red ram returned to its initial position, the wooden block remained in the blue area.","1: When the yellow ram returned to its initial position, the wooden block remained in the blue area.",0,10,8,8,"The yellow ram moved first.","2023-10-30 11:11:06",26,"1: male","none","correct","correct"
"03LwtnCNaiGQ",3,"1: I confirm","1: I will take it seriously","2: A green ball lies on a brown wooden board. Then a yellow ball falls down onto the wooden board. The green ball then shoots into the air.","reversible","red","2: When the red ram returned to its initial position, the wooden block also went back (left the blue area again).","2: When the yellow ram returned to its initial position, the wooden block also went back (left the blue area again).",7,7,7,7,"The red ram moved first.","2023-10-30 11:10:12",28,"1: male",NA,"correct","correct"
"0JU2hkUqtt6R",3,"1: I confirm","1: I will take it seriously","2: A green ball lies on a brown wooden board. Then a yellow ball falls down onto the wooden board. The green ball then shoots into the air.","reversible","red","2: When the red ram returned to its initial position, the wooden block also went back (left the blue area again).","2: When the yellow ram returned to its initial position, the wooden block also went back (left the blue area again).",10,10,10,0,"The red ram moved first.","2023-10-30 12:26:58",37,"1: male",NA,"correct","correct"
"26Cn8YHzJjAW",3,"1: I confirm","1: I will take it seriously","2: A green ball lies on a brown wooden board. Then a yellow ball falls down onto the wooden board. The green ball then shoots into the air.","reversible","red","2: When the red ram returned to its initial position, the wooden block also went back (left the blue area again).","2: When the yellow ram returned to its initial position, the wooden block also went back (left the blue area again).",10,0,10,4,"The red ram moved first.","2023-10-30 11:16:50",25,"2: female",NA,"correct","correct"
"2jcmydCarg6K",3,"1: I confirm","1: I will take it seriously","2: A green ball lies on a brown wooden board. Then a yellow ball falls down onto the wooden board. The green ball then shoots into the air.","reversible","red","2: When the red ram returned to its initial position, the wooden block also went back (left the blue area again).","2: When the yellow ram returned to its initial position, the wooden block also went back (left the blue area again).",10,0,10,10,"The red ram moved first.","2023-10-30 11:15:08",27,"1: male",NA,"correct","correct"
"8YKJ010EsNj5",3,"1: I confirm","1: I will take it seriously","2: A green ball lies on a brown wooden board. Then a yellow ball falls down onto the wooden board. The green ball then shoots into the air.","reversible","red","2: When the red ram returned to its initial position, the wooden block also went back (left the blue area again).","2: When the yellow ram returned to its initial position, the wooden block also went back (left the blue area again).",10,0,10,10,"The red ram moved first.","2023-10-30 11:10:20",36,"3: non-binary",NA,"correct","correct"
"CouF4eQK5otq",3,"1: I confirm","1: I will take it seriously","2: A green ball lies on a brown wooden board. Then a yellow ball falls down onto the wooden board. The green ball then shoots into the air.","reversible","red","2: When the red ram returned to its initial position, the wooden block also went back (left the blue area again).","2: When the yellow ram returned to its initial position, the wooden block also went back (left the blue area again).",10,0,0,10,"The red ram moved first.","2023-10-30 12:16:30",38,"1: male","None ","correct","correct"
"CQ0IHHpDrLDd",3,"1: I confirm","1: I will take it seriously","2: A green ball lies on a brown wooden board. Then a yellow ball falls down onto the wooden board. The green ball then shoots into the air.","reversible","red","2: When the red ram returned to its initial position, the wooden block also went back (left the blue area again).","2: When the yellow ram returned to its initial position, the wooden block also went back (left the blue area again).",10,10,6,6,"The red ram moved first.","2023-10-30 11:10:26",67,"1: male","no problems encountered","correct","correct"
"DLaYxF5Kmxrw",3,"1: I confirm","1: I will take it seriously","2: A green ball lies on a brown wooden board. Then a yellow ball falls down onto the wooden board. The green ball then shoots into the air.","reversible","red","2: When the red ram returned to its initial position, the wooden block also went back (left the blue area again).","2: When the yellow ram returned to its initial position, the wooden block also went back (left the blue area again).",10,2,9,9,"The red ram moved first.","2023-10-30 11:10:32",49,"2: female",NA,"correct","correct"
"DzIFDICWoByT",3,"1: I confirm","1: I will take it seriously","2: A green ball lies on a brown wooden board. Then a yellow ball falls down onto the wooden board. The green ball then shoots into the air.","reversible","red","2: When the red ram returned to its initial position, the wooden block also went back (left the blue area again).","2: When the yellow ram returned to its initial position, the wooden block also went back (left the blue area again).",10,0,9,8,"The red ram moved first.","2023-10-30 11:47:32",51,"1: male","No errors seen","correct","correct"
"eowg6XEucqyC",3,"1: I confirm","1: I will take it seriously","2: A green ball lies on a brown wooden board. Then a yellow ball falls down onto the wooden board. The green ball then shoots into the air.","reversible","red","2: When the red ram returned to its initial position, the wooden block also went back (left the blue area again).","2: When the yellow ram returned to its initial position, the wooden block also went back (left the blue area again).",10,0,0,10,"The red ram moved first.","2023-10-30 11:47:12",31,"2: female",NA,"correct","correct"
"EP7WfePzCGs1",3,"1: I confirm","1: I will take it seriously","2: A green ball lies on a brown wooden board. Then a yellow ball falls down onto the wooden board. The green ball then shoots into the air.","reversible","red","2: When the red ram returned to its initial position, the wooden block also went back (left the blue area again).","2: When the yellow ram returned to its initial position, the wooden block also went back (left the blue area again).",10,0,10,10,"The red ram moved first.","2023-10-30 11:10:24",38,"1: male","DIDN'T SEE ANY","correct","correct"
"JhLbvTJKIIDN",3,"1: I confirm","1: I will take it seriously","2: A green ball lies on a brown wooden board. Then a yellow ball falls down onto the wooden board. The green ball then shoots into the air.","reversible","red","2: When the red ram returned to its initial position, the wooden block also went back (left the blue area again).","2: When the yellow ram returned to its initial position, the wooden block also went back (left the blue area again).",10,10,9,10,"The red ram moved first.","2023-10-30 11:17:44",27,"2: female",NA,"correct","correct"
"JL9RFwuVYRk5",3,"1: I confirm","1: I will take it seriously","2: A green ball lies on a brown wooden board. Then a yellow ball falls down onto the wooden board. The green ball then shoots into the air.","reversible","red","2: When the red ram returned to its initial position, the wooden block also went back (left the blue area again).","2: When the yellow ram returned to its initial position, the wooden block also went back (left the blue area again).",10,0,0,10,"The red ram moved first.","2023-10-30 12:11:47",56,"2: female",NA,"correct","correct"
"Ka7PFC3xZT2b",3,"1: I confirm","1: I will take it seriously","2: A green ball lies on a brown wooden board. Then a yellow ball falls down onto the wooden board. The green ball then shoots into the air.","reversible","red","2: When the red ram returned to its initial position, the wooden block also went back (left the blue area again).","2: When the yellow ram returned to its initial position, the wooden block also went back (left the blue area again).",10,0,9,9,"The red ram moved first.","2023-10-30 11:47:22",48,"1: male","I did not notice any errors.","correct","correct"
"Kiwy8swCTGfn",3,"1: I confirm","1: I will take it seriously","2: A green ball lies on a brown wooden board. Then a yellow ball falls down onto the wooden board. The green ball then shoots into the air.","reversible","red","2: When the red ram returned to its initial position, the wooden block also went back (left the blue area again).","2: When the yellow ram returned to its initial position, the wooden block also went back (left the blue area again).",10,0,10,10,"The red ram moved first.","2023-10-30 12:30:41",29,"1: male","I had no errors during this study and I saw no typos","correct","correct"
"lE3QYN5YGcGm",3,"1: I confirm","1: I will take it seriously","2: A green ball lies on a brown wooden board. Then a yellow ball falls down onto the wooden board. The green ball then shoots into the air.","reversible","red","2: When the red ram returned to its initial position, the wooden block also went back (left the blue area again).","2: When the yellow ram returned to its initial position, the wooden block also went back (left the blue area again).",10,2,10,10,"The red ram moved first.","2023-10-30 11:11:06",28,"2: female","no error or issues","correct","correct"
"LYYpXnUvJO59",3,"1: I confirm","1: I will take it seriously","2: A green ball lies on a brown wooden board. Then a yellow ball falls down onto the wooden board. The green ball then shoots into the air.","reversible","red","2: When the red ram returned to its initial position, the wooden block also went back (left the blue area again).","2: When the yellow ram returned to its initial position, the wooden block also went back (left the blue area again).",7,7,8,8,"The red ram moved first.","2023-10-30 11:10:28",49,"2: female",NA,"correct","correct"
